ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Veb Variation Gallery Images,Swatches Attributes,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
2279,variation,mens-navy-blue-2pcs-double-breasted-suit-44,Men's navy blue 2pcs double breasted suit. - 44,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,5,,,Suit Size,44,,0,,,,
2280,variation,mens-navy-blue-2pcs-double-breasted-suit-46,Men's navy blue 2pcs double breasted suit. - 46,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,6,,,Suit Size,46,,0,,,,
2281,variation,mens-navy-blue-2pcs-double-breasted-suit-48,Men's navy blue 2pcs double breasted suit. - 48,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,7,,,Suit Size,48,,0,,,,
2282,variation,mens-navy-blue-2pcs-double-breasted-suit-30.59,Men's navy blue 2pcs double breasted suit. - 30.59,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.59,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/2ef2c9674d51f855ed404ce4c7566414.jpg,,,mens-navy-blue-2pcs-double-breasted-suit,,,,,,8,,,Suit Size,30.59,,0,,,,
2283,variable,pompey-collection-mens-glen-plaid-dress-suit-2-piece-regular-fit-in-tan,Pompey Collection - Men's Glen Plaid Dress Suit 2 Piece Regular Fit in Tan,1,0,visible,,"<ul>\n 	<li>Regular Fit</li>\n 	<li>2 Button</li>\n 	<li>Side Vents</li>\n 	<li>Flat Front Pants, Un-Hemmed Bottoms for Alteration Ease</li>\n 	<li>Glen Plaid</li>\n 	<li><a href=""https://suitsoutlets.com/pages/search-results-page?q=so12rw-1"">More Colors Available</a></li>\n</ul>\n&nbsp;\n\nAbout?<a title=""Pompey Collection Suit"" href=""https://suitsoutlets.com/pages/search-results-page?q=so12rw-1"">Pompey?Collection</a>\n\nPompey (106-48 B.C.) was a Roman general and statesman and the dominant figure in Rome between the abdication of Sulla in 79 B.C. and his own defeat by Julius Caesar at Pharsalus in 48 B.C.\n\n&nbsp;\n<table width=""100%"">\n<tbody>\n<tr>\n<td>Fabric</td>\n<td>\n<div></div>\nFine Poly/Rayon,?Wrinkle Resistant</td>\n</tr>\n<tr>\n<td>\n<div></div>\nCare Instructions</td>\n<td>\n<div></div>\nDry Clean Only</td>\n</tr>\n<tr>\n<td>\n<div></div>\nPackage Dimensions</td>\n<td>\n<div></div>\n20 x 16 x 2 Inches</td>\n</tr>\n<tr>\n<td>\n<div></div>\nShipping Weight</td>\n<td>\n<div></div>\n3 Pound(s)</td>\n</tr>\n<tr>\n<td>Place of Design</td>\n<td>New York City, US</td>\n</tr>\n<tr>\n<td>Place of Manufacture</td>\n<td>\n<div></div>\nImported</td>\n</tr>\n</tbody>\n</table>\n<img class=""alignnone wp-image-2256 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png"" alt="""" width=""730.59"" height=""1434"" />\n\n<img class=""alignnone wp-image-2257 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png"" alt="""" width=""790"" height=""608"" />",,,taxable,,1,999,,0,0,,,,,0,,,,Suit suit,,,"https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/70d53d219e73230.59cfc7191083bd2edac.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/e082be3669bb05be187686e98e7c393f.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/a52112787c15b786e9384ff3ac423ad0.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/eec49427a5281ea606f6203341143929.jpg",,,,,,,,,0,,,Size,"36 Regular, 36 Short, 36 Long, 38 Regular, 38 Short, 38 Long, 40 Regular, 40 Short, 40 Long, 42 Regular, 42 Short, 42 Long, 44 Regular, 44 Short, 44 Long, 46 Regular, 46 Short, 46 Long, 48 Regular, 48 Short, 48 Long, 30.59 Regular, 30.59 Short, 30.59 Long, 52 Regular, 52 Short, 52 Long, 54 Regular, 54 Short, 54 Long",1,0,,,,
2284,variation,pompey-collection-mens-glen-plaid-dress-suit-2-piece-regular-fit-in-tan-,Pompey Collection - Men's Glen Plaid Dress Suit 2 Piece Regular Fit in Tan,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,39.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/70d53d219e73230.59cfc7191083bd2edac.jpg,,,pompey-collection-mens-glen-plaid-dress-suit-2-piece-regular-fit-in-tan,,,,,,1,,,Size,,,0,,,,
2289,variable,casatani-green-slim-fit-plaid-suit,Casatani Green Slim Fit Plaid Suit,1,0,visible,,Suit material: 63% polyester 37% viscose\nMachine Washable?: No\njacket slit : double slit\nRemarks:?Dry Cleaning Only\n\n<img class="alignnone wp-image-2256 size-full" src="https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png" alt="" width="730.59" height="1434" />\n\n<img class="alignnone wp-image-2257 size-full" src="https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png" alt="" width="790" height="608" />,,,taxable,,1,999,,0,0,,,,,0,,,,Tuxedo suit,,,"https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/71f5f1446e85d8f74d4cdd9bd1149c00.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/542e730c2afc5aa6783066e3ef8053d1.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/a6e30c9cc4bcdb24e9d1364da0a41c83.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/38a5c8967c198a8888abf2d134991a77.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/8a4d78b4c948f318f0a278f62b16dcef.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/5f7c079f8f2098747e03fe285b95480e.jpg",,,,,,,,,0,,,Pants Size,"30W, 31w, 32W, 33W, 34W, 36W",1,0,Jacket&amp;Vest Size,"36, 38, 40, 42, 44, 46",1,0
2290,variation,casatani-green-slim-fit-plaid-suit--,Casatani Green Slim Fit Plaid Suit,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,37.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/71f5f1446e85d8f74d4cdd9bd1149c00.jpg,,,casatani-green-slim-fit-plaid-suit,,,,,,1,,,Pants Size,,,0,Jacket&amp;Vest Size,,,0
2307,variable,mens-yellow-double-breasted-peak-lapel-winter-jacket,Men's yellow double breasted peak lapel winter jacket.,1,0,visible,,"Color:?Yellow\n\nComposition :?Rich Cashmere\n\nDetail:?Six?button on the front, 2 side pockets, One chest pocket, wide?peak?lapel, and one vent.\n\nCare : Dry clean only\n\n* Light in the studio shooting environment and visual reference to the ghosting or flare 5% color differences may occur.\n\n<img class=""alignnone wp-image-2256 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png"" alt="""" width=""730.59"" height=""1434"" />\n\n<img class=""alignnone wp-image-2257 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png"" alt="""" width=""790"" height=""608"" />",,,taxable,,1,999,,0,0,,,,,0,,,,Custom suit,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/129fc0005cb944719afa99a8497ace5a.webp,,,,,,,,,0,,,SIZE,"36, 38, 40, 42, 44, 46, 48, 30.59",1,0,,,,
2310,variable,charcoal-trouser-with-beige-overcheck,Charcoal Trouser with Beige Overcheck,1,0,visible,,"<ul>\n 	<li>Flat fronted trouser with frog mouth pockets</li>\n 	<li>Single extension hook and eye fastening at the waist with fly front</li>\n 	<li>Twin jetted pockets to the rear</li>\n 	<li>Standard 34 inch?inside leg</li>\n 	<li>Finished with signature William Hunt v-insert</li>\n 	<li>Trouser may be let out or taken in at the waist by up to 2?inches</li>\n 	<li>100% Linen</li>\n</ul>\n<strong>PLEASE NOTE THAT THESE TROUSERS ARE DRY CLEAN ONLY</strong>\n\n<strong>product code 18-06</strong>\n\n<img class=""alignnone wp-image-2256 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/9bce67da48bc03db70791d7142cef9aa-1.png"" alt="""" width=""730.59"" height=""1434"" />\n\n<img class=""alignnone wp-image-2257 size-full"" src=""https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/17acb537d6e2bb1d4f17defa79798ab2-1.png"" alt="""" width=""790"" height=""608"" />\n\n&nbsp;",,,taxable,,1,999,,0,0,,,,,0,,,,Trousers,,,"https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/3c232bdddb6bf35946c29377a568e060.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/59f5225e1a48576e6a4608afb4eabbda.jpg, https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/554654644db7bddd85116830.592ce81f5a.jpg",,,,,,,,,0,,,SIZE,"30, 32, 34, 36, 38, 40, 42, 44, 46",1,0,,,,
2316,variation,mens-sacramento-green-double-breasted-2pcs-suit-36,Men's Sacramento green double breasted 2pcs suit. - 36,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,1,,,Suit Size,36,,0,,,,
2317,variation,mens-sacramento-green-double-breasted-2pcs-suit-38,Men's Sacramento green double breasted 2pcs suit. - 38,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,2,,,Suit Size,38,,0,,,,
2318,variation,mens-sacramento-green-double-breasted-2pcs-suit-40,Men's Sacramento green double breasted 2pcs suit. - 40,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,3,,,Suit Size,40,,0,,,,
2319,variation,mens-sacramento-green-double-breasted-2pcs-suit-42,Men's Sacramento green double breasted 2pcs suit. - 42,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,4,,,Suit Size,42,,0,,,,
2320,variation,mens-sacramento-green-double-breasted-2pcs-suit-44,Men's Sacramento green double breasted 2pcs suit. - 44,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,5,,,Suit Size,44,,0,,,,
2321,variation,mens-sacramento-green-double-breasted-2pcs-suit-46,Men's Sacramento green double breasted 2pcs suit. - 46,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,6,,,Suit Size,46,,0,,,,
2322,variation,mens-sacramento-green-double-breasted-2pcs-suit-48,Men's Sacramento green double breasted 2pcs suit. - 48,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,7,,,Suit Size,48,,0,,,,
2323,variation,mens-sacramento-green-double-breasted-2pcs-suit-30.59,Men's Sacramento green double breasted 2pcs suit. - 30.59,1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,31.99,,,,https://cdn.jsdelivr.net/gh/hzdu/alberton_xyz_uploads@master/wp-content/uploads/2022/03/735721a7a1547b8a99c68c7d4bd5f8ad.jpg,,,mens-sacramento-green-double-breasted-2pcs-suit,,,,,,8,,,Suit Size,30.59,,0,,,,
